GID,GO,EVIDENCE
fpoB:MM_2490,GO:0005886,IEA
fpoB:MM_2490,GO:0008137,IEA
fpoB:MM_2490,GO:0015945,IEA
fpoB:MM_2490,GO:0015948,IEA
fpoB:MM_2490,GO:0046872,IEA
fpoB:MM_2490,GO:0048038,IEA
fpoB:MM_2490,GO:0051539,IEA
fpoB:MM_2490,GO:0051911,IEA
MM_2582,GO:0016787,IEA
MM_2582,GO:0033383,IEA
MM_2582,GO:0045339,IEA
MM_2582,GO:0046490,IEA
MM_2582,GO:0046872,IEA
MM_2582,GO:0050993,IEA
fpoF:MM_0627,GO:0005737,IEA
fpoF:MM_0627,GO:0015945,IEA
fpoF:MM_0627,GO:0015948,IEA
fpoF:MM_0627,GO:0016020,IEA
fpoF:MM_0627,GO:0046872,IEA
fpoF:MM_0627,GO:0051537,IEA
fpoF:MM_0627,GO:0051911,IEA
fpoK:MM_2483,GO:0005886,IEA
fpoK:MM_2483,GO:0015945,IEA
fpoK:MM_2483,GO:0015948,IEA
fpoK:MM_2483,GO:0016651,IEA
fpoK:MM_2483,GO:0042773,IEA
fpoK:MM_2483,GO:0051911,IEA
fpoO:MM_2479,GO:0015945,IEA
fpoO:MM_2479,GO:0015948,IEA
fpoO:MM_2479,GO:0046872,IEA
fpoO:MM_2479,GO:0051537,IEA
fpoO:MM_2479,GO:0051911,IEA
fpoD:MM_2488,GO:0005886,IEA
fpoD:MM_2488,GO:0015945,IEA
fpoD:MM_2488,GO:0015948,IEA
fpoD:MM_2488,GO:0016151,IEA
fpoD:MM_2488,GO:0016651,IEA
fpoD:MM_2488,GO:0048038,IEA
fpoD:MM_2488,GO:0051287,IEA
fpoD:MM_2488,GO:0051911,IEA
fpoD:MM_2488,GO:1902494,IEA
fpoM:MM_2481,GO:0005886,IEA
fpoM:MM_2481,GO:0008137,IEA
fpoM:MM_2481,GO:0015945,IEA
fpoM:MM_2481,GO:0015948,IEA
fpoM:MM_2481,GO:0042773,IEA
fpoM:MM_2481,GO:0051911,IEA
fpoL:MM_2482,GO:0005886,IEA
fpoL:MM_2482,GO:0008137,IEA
fpoL:MM_2482,GO:0015945,IEA
fpoL:MM_2482,GO:0015948,IEA
fpoL:MM_2482,GO:0042773,IEA
fpoL:MM_2482,GO:0051911,IEA
fpoC:MM_2489,GO:0005886,IEA
fpoC:MM_2489,GO:0008137,IEA
fpoC:MM_2489,GO:0015945,IEA
fpoC:MM_2489,GO:0015948,IEA
fpoC:MM_2489,GO:0051911,IEA
fpoN:MM_2480,GO:0005886,IEA
fpoN:MM_2480,GO:0008137,IEA
fpoN:MM_2480,GO:0015945,IEA
fpoN:MM_2480,GO:0015948,IEA
fpoN:MM_2480,GO:0042773,IEA
fpoN:MM_2480,GO:0051911,IEA
mtrA:MM_1543,GO:0005886,IEA
mtrA:MM_1543,GO:0006730,IEA
mtrA:MM_1543,GO:0006814,IEA
mtrA:MM_1543,GO:0019386,IEA
mtrA:MM_1543,GO:0030269,IEA
mtrA:MM_1543,GO:0032259,IEA
mtrA:MM_1543,GO:0050897,IEA
ackA:ack:MM_0495,GO:0000287,IEA
ackA:ack:MM_0495,GO:0005524,IEA
ackA:ack:MM_0495,GO:0005737,IEA
ackA:ack:MM_0495,GO:0006082,IEA
ackA:ack:MM_0495,GO:0006085,IEA
ackA:ack:MM_0495,GO:0008776,IEA
ackA:ack:MM_0495,GO:0016310,IEA
mtrF:MM_1542,GO:0005886,IEA
mtrF:MM_1542,GO:0006730,IEA
mtrF:MM_1542,GO:0019386,IEA
mtrF:MM_1542,GO:0030269,IEA
mtrF:MM_1542,GO:0032259,IEA
cdhA1:MM_2089,GO:0005506,IEA
cdhA1:MM_2089,GO:0006084,IEA
cdhA1:MM_2089,GO:0016151,IEA
cdhA1:MM_2089,GO:0018492,IEA
