GID,KEGG
fpoB:MM_2490,mma:MM_2490
MM_2582,mma:MM_2582
fpoF:MM_0627,mma:MM_0627
fpoK:MM_2483,mma:MM_2483
fpoO:MM_2479,mma:MM_2479
fpoD:MM_2488,mma:MM_2488
fpoM:MM_2481,mma:MM_2481
fpoL:MM_2482,mma:MM_2482
fpoC:MM_2489,mma:MM_2489
fpoN:MM_2480,mma:MM_2480
mtrA:MM_1543,mma:MM_1543
ackA:ack:MM_0495,mma:MM_0495
mtrF:MM_1542,mma:MM_1542
cdhA1:MM_2089,mma:MM_2089
cdhA2:MM_0684,mma:MM_0684
atpA:ahaA:MM_0780,mma:MM_0780
thrS:MM_3304,mma:MM_3304
fpoA:MM_2491,mma:MM_2491
fpoH:MM_2487,mma:MM_2487
fpoI:MM_2486,mma:MM_2486
fpoJ:MM_2485,mma:MM_2485
coaBC:MM_2283,mma:MM_2283
dadD:MM_2279,mma:MM_2279
nnrE:nnrD:MM_2208,mma:MM_2208
hdrD:MM_1844,mma:MM_1844
glnA1:MM_0964,mma:MM_0964
glnK1:MM_0732,mma:MM_0732
hppA1:MM_0700,mma:MM_0700
MM_0603,mma:MM_0603
MM_0602,mma:MM_0602
argJ:MM_0474,mma:MM_0474
pyrG:MM_0118,mma:MM_0118
mtrC:MM_1545,mma:MM_1545
dnaJ:MM_2504,mma:MM_2504
grpE:MM_2506,mma:MM_2506
carB:MM_0038,mma:MM_0038
aksA:MM_2785,mma:MM_2785
mtmB1:MM_1436/MM_1437:mtmB2:MM_3335/MM_3336,mma:MM_1436
mtmB1:MM_1436/MM_1437:mtmB2:MM_3335/MM_3336,mma:MM_1437
mtmB1:MM_1436/MM_1437:mtmB2:MM_3335/MM_3336,mma:MM_3335
mtmB1:MM_1436/MM_1437:mtmB2:MM_3335/MM_3336,mma:MM_3336
mttB1:MM_1688/MM_1689,mma:MM_1688
mttB1:MM_1688/MM_1689,mma:MM_1689
mttB2:MM_2048/MM_2049,mma:MM_2048
mttB2:MM_2048/MM_2049,mma:MM_2049
mtmC1:MM_1438,mma:MM_1438
mtbA:MM_1439,mma:MM_1439
pyrH:MM_1611,mma:MM_1611
rpo12:rpoP:MM_2626,mma:MM_2626
mtrE:MM_1547,mma:MM_1547
mtrD:MM_1546,mma:MM_1546
mtrB:MM_1544,mma:MM_1544
mtrG:MM_1541,mma:MM_1541
atpE:ahaE:MM_0783,mma:MM_0783
atpC:ahaC:MM_0782,mma:MM_0782
atpF:ahaF:MM_0781,mma:MM_0781
atpB:ahaB:MM_0779,mma:MM_0779
atpD:ahaD:MM_0778,mma:MM_0778
