GID,UNIPROT
fpoB:MM_2490,F1SVH7
MM_2582,Q8PTX6
fpoF:MM_0627,Q8PZ67
fpoK:MM_2483,F1SVE0
fpoO:MM_2479,F1SVE1
fpoD:MM_2488,F1SVE4
fpoM:MM_2481,F1SVH9
fpoL:MM_2482,F1SVK0
fpoC:MM_2489,F1SVL1
fpoN:MM_2480,F1SVL2
mtrA:MM_1543,O59640
ackA:ack:MM_0495,P0CW05
mtrF:MM_1542,P80654
cdhA1:MM_2089,Q49161
cdhA2:MM_0684,Q49163
atpA:ahaA:MM_0780,Q60186
thrS:MM_3304,Q8PRY4
fpoA:MM_2491,Q8PU58
fpoH:MM_2487,Q8PU59
fpoI:MM_2486,Q8PU60
fpoJ:MM_2485,Q8PU61
coaBC:MM_2283,Q8PUP9
dadD:MM_2279,Q8PUQ3
nnrE:nnrD:MM_2208,Q8PUX0
hdrD:MM_1844,Q8PVW3
glnA1:MM_0964,Q8PY99
glnK1:MM_0732,Q8PYW7
hppA1:MM_0700,Q8PYZ8
MM_0603,Q8PZ91
MM_0602,Q8PZ92
argJ:MM_0474,Q8PZL8
pyrG:MM_0118,Q8Q0L8
mtrC:MM_1545,O59638
dnaJ:MM_2504,P0CW07
grpE:MM_2506,P0CW11
carB:MM_0038,P58944
aksA:MM_2785,P58967
mtmB1:MM_1436/MM_1437:mtmB2:MM_3335/MM_3336,P58969
mttB1:MM_1688/MM_1689,P58973
mttB2:MM_2048/MM_2049,P58974
mtmC1:MM_1438,P58977
mtbA:MM_1439,P58984
pyrH:MM_1611,P59010
rpo12:rpoP:MM_2626,P61934
mtrE:MM_1547,P80651
nan,P80652
mtrD:MM_1546,P80653
mtrB:MM_1544,P80655
mtrG:MM_1541,P80656
atpE:ahaE:MM_0783,Q60183
atpC:ahaC:MM_0782,Q60184
atpF:ahaF:MM_0781,Q60185
atpB:ahaB:MM_0779,Q60187
atpD:ahaD:MM_0778,Q60188
uvrA:MM_3291,Q8PRZ7
uvrB:MM_3289,Q8PRZ9
thiE:MM_3235,Q8PS49
thiM:MM_3234,Q8PS50
hcp:MM_3213,Q8PS69
taw2:MM_3150,Q8PSC9
lon:MM_3118,Q8PSG1
topA:MM_3076,Q8PSK3
gpmA:MM_2993,Q8PST3
mptE:MM_2968,Q8PSV8
ileS:MM_2967,Q8PSV9
purP2:MM_2913,Q8PT10
serC:MM_2911,Q8PT12
dbh2:MM_2876,Q8PT42
eno:MM_2836,Q8PT81
rnhB:MM_2814,Q8PTA3
pheT:MM_2812,Q8PTA5
purQ:MM_2807,Q8PTB0
purS:MM_2806,Q8PTB1
mobA:MM_2793,Q8PTC3
nadK:MM_2784,Q8PTD1
gap:MM_2782,Q8PTD3
lig2:MM_2714,Q8PTK1
rpl37ae:MM_2625,Q8PTT6
rsgA:MM_2561,Q8PTZ6
rsmA:ksgA:MM_2539,Q8PU18
