"Entry"	"Entry Name"	"Protein names"	"Gene Names"	"Organism"	"Gene Ontology IDs"	"Gene Ontology (GO)"	"Gene Ontology (biological process)"	"Gene Ontology (cellular component)"	"Gene Ontology (molecular function)"	"Organism (ID)"	"Gene Names (synonym)"	"Gene Names (ordered locus)"	"Gene Names (ORF)"	"Gene Names (primary)"	"Proteomes"	"Protein families"	"RefSeq"	"KEGG"	"GeneID"	"EnsemblBacteria"	"Annotation"	"Keywords"	"Caution"	"Keyword ID"	"Miscellaneous [CC]"	"Protein existence"	"Reviewed"	"Tools"	"UniParc"	"Comments"	"Features"	"Taxonomic lineage"	"Taxonomic lineage (Ids)"	"Virus hosts"	"Intramembrane"	"Subcellular location [CC]"	"Topological domain"	"Transmembrane"
"F1SVH7"	"FPOB_METMA"	"F(420)H(2) dehydrogenase subunit B (EC 1.12.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit B) (F(420)H(2)-dependent phenazine oxidoreductase subunit B) (FPO subunit B) (Methanophenazine hydrogenase subunit B) (Methanosarcina-phenazine hydrogenase subunit B)"	"fpoB MM_2490"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005886; GO:0008137; GO:0015945; GO:0015948; GO:0046872; GO:0048038; GO:0051539; GO:0051911"	"plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"plasma membrane [GO:0005886]"	"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]"	192952		"MM_2490"		"fpoB"	"UP000000595: Chromosome"	"Complex I 20 kDa subunit family"	"WP_011034408.1;"	"mma:MM_2490;"	"44087882;66135451;"	"AAM32186;"	5	"4Fe-4S;Cell inner membrane;Cell membrane;Direct protein sequencing;Electron transport;FAD;Flavoprotein;Iron;Iron-sulfur;Membrane;Metal-binding;Methanogenesis;Methanol utilization;Oxidoreductase;Transport"		"KW-0004; KW-0997; KW-1003; KW-0903; KW-0249; KW-0274; KW-0285; KW-0408; KW-0411; KW-0472; KW-0479; KW-0484; KW-0485; KW-0560; KW-0813"		"Evidence at protein level"	"reviewed"		"UPI00000688A5"	"BIOPHYSICOCHEMICAL PROPERTIES (1); CATALYTIC ACTIVITY (1); COFACTOR (2); FUNCTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Binding site (4); Chain (1); Compositional bias (1); Region (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}."		
"Q8PTX6"	"Y2582_METMA"	"Nudix hydrolase MM_2582 (EC 3.6.1.-) (Prenyl-phosphatase)"	"MM_2582"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0016787; GO:0033383; GO:0045339; GO:0046490; GO:0046872; GO:0050993"	"hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; dimethylallyl diphosphate metabolic process [GO:0050993]; farnesyl diphosphate catabolic process [GO:0045339]; geranyl diphosphate metabolic process [GO:0033383]; isopentenyl diphosphate metabolic process [GO:0046490]"	"dimethylallyl diphosphate metabolic process [GO:0050993]; farnesyl diphosphate catabolic process [GO:0045339]; geranyl diphosphate metabolic process [GO:0033383]; isopentenyl diphosphate metabolic process [GO:0046490]"		"hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]"	192952		"MM_2582"			"UP000000595: Chromosome"	"Nudix hydrolase family"	"WP_011034497.1;"	"mma:MM_2582;"	"24865255;"	"AAM32278;"	5	"Hydrolase;Magnesium;Metal-binding"		"KW-0378; KW-0460; KW-0479"		"Evidence at protein level"	"reviewed"		"UPI000006918F"	"BIOPHYSICOCHEMICAL PROPERTIES (1); CATALYTIC ACTIVITY (4); COFACTOR (1); FUNCTION (1); PATHWAY (1); SIMILARITY (1)"	"Binding site (2); Chain (1); Domain (1); Motif (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PZ67"	"FPOF_METMA"	"F(420)H(2) dehydrogenase subunit F (EC 1.12.98.3) (EC 1.5.7.2) (Coenzyme F420 oxidoreductase (ferredoxin)) (F(420)H(2)-dependent phenazine dehydrogenase subunit F) (F(420)H(2)-dependent phenazine oxidoreductase subunit F) (FPO subunit F) (Methanophenazine hydrogenase subunit F) (Methanosarcina-phenazine hydrogenase subunit F)"	"fpoF MM_0627"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005737; GO:0015945; GO:0015948; GO:0016020; GO:0046872; GO:0051537; GO:0051911"	"cytoplasm [GO:0005737]; membrane [GO:0016020]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"cytoplasm [GO:0005737]; membrane [GO:0016020]"	"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]"	192952		"MM_0627"		"fpoF"	"UP000000595: Chromosome"		"WP_011032578.1;"	"mma:MM_0627;"	"44086160;"	"AAM30323;"	5	"2Fe-2S;Cytoplasm;Electron transport;FAD;Flavoprotein;Iron;Iron-sulfur;Membrane;Metal-binding;Methanogenesis;Methanol utilization;Oxidoreductase;Repeat;Transport"		"KW-0001; KW-0963; KW-0249; KW-0274; KW-0285; KW-0408; KW-0411; KW-0472; KW-0479; KW-0484; KW-0485; KW-0560; KW-0677; KW-0813"		"Evidence at protein level"	"reviewed"		"UPI0000068AED"	"BIOPHYSICOCHEMICAL PROPERTIES (1); CATALYTIC ACTIVITY (2); COFACTOR (2); FUNCTION (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Binding site (8); Chain (1); Domain (2); Sequence conflict (2)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Membrane; Peripheral membrane protein {ECO:0000269|PubMed:21306561}. Cytoplasm {ECO:0000269|PubMed:21306561}."		
"F1SVE0"	"FPOK_METMA"	"F(420)H(2) dehydrogenase subunit K (EC 1.12.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit K) (F(420)H(2)-dependent phenazine oxidoreductase subunit K) (FPO subunit J) (Methanophenazine hydrogenase subunit K) (Methanosarcina-phenazine hydrogenase subunit K)"	"fpoK MM_2483"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005886; GO:0015945; GO:0015948; GO:0016651; GO:0042773; GO:0051911"	"plasma membrane [GO:0005886]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; ATP synthesis coupled electron transport [GO:0042773]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"ATP synthesis coupled electron transport [GO:0042773]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"plasma membrane [GO:0005886]"	"Methanosarcina-phenazine hydrogenase activity [GO:0051911]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]"	192952		"MM_2483"		"fpoK"	"UP000000595: Chromosome"	"Complex I subunit 4L family"	"WP_011034401.1;"	"mma:MM_2483;"	"44087875;"	"AAM32179;"	4	"Cell membrane;Electron transport;Membrane;Methanogenesis;Methanol utilization;Oxidoreductase;Transmembrane;Transmembrane helix;Transport"		"KW-1003; KW-0249; KW-0472; KW-0484; KW-0485; KW-0560; KW-0812; KW-1133; KW-0813"		"Evidence at protein level"	"reviewed"		"UPI000006889E"	"BIOPHYSICOCHEMICAL PROPERTIES (1); CATALYTIC ACTIVITY (1); FUNCTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Chain (1); Transmembrane (3)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}."		"TRANSMEM 4..24; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 33..53; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 62..82; /note=""Helical""; /evidence=""ECO:0000255"""
"F1SVE1"	"FPOO_METMA"	"F(420)H(2) dehydrogenase subunit O (EC 1.12.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit O) (F(420)H(2)-dependent phenazine oxidoreductase subunit O) (FPO subunit O) (Methanophenazine hydrogenase subunit O) (Methanosarcina-phenazine hydrogenase subunit O)"	"fpoO MM_2479"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0015945; GO:0015948; GO:0046872; GO:0051537; GO:0051911"	"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"		"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]"	192952		"MM_2479"		"fpoO"	"UP000000595: Chromosome"	"FpoO family"	"WP_011034397.1;"	"mma:MM_2479;"	"24865360;"	"AAM32175;"	4	"2Fe-2S;Electron transport;Iron;Iron-sulfur;Metal-binding;Methanogenesis;Methanol utilization;Oxidoreductase;Transport"		"KW-0001; KW-0249; KW-0408; KW-0411; KW-0479; KW-0484; KW-0485; KW-0560; KW-0813"		"Evidence at protein level"	"reviewed"		"UPI000006889F"	"BIOPHYSICOCHEMICAL PROPERTIES (1); CATALYTIC ACTIVITY (1); COFACTOR (1); FUNCTION (1); SIMILARITY (1); SUBUNIT (1)"	"Binding site (3); Chain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"F1SVE4"	"FPOD_METMA"	"F(420)H(2) dehydrogenase subunit D (EC 1.12.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit D) (F(420)H(2)-dependent phenazine oxidoreductase subunit D) (FPO subunit D) (Methanophenazine hydrogenase subunit D) (Methanosarcina-phenazine hydrogenase subunit D)"	"fpoD MM_2488"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005886; GO:0015945; GO:0015948; GO:0016151; GO:0016651; GO:0048038; GO:0051287; GO:0051911; GO:1902494"	"catalytic complex [GO:1902494]; plasma membrane [GO:0005886]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NAD binding [GO:0051287]; nickel cation binding [GO:0016151]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; quinone binding [GO:0048038]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"catalytic complex [GO:1902494]; plasma membrane [GO:0005886]"	"Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NAD binding [GO:0051287]; nickel cation binding [GO:0016151]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; quinone binding [GO:0048038]"	192952		"MM_2488"		"fpoD"	"UP000000595: Chromosome"	"Complex I 49 kDa subunit family"	"WP_011034406.1;"	"mma:MM_2488;"	"24879217;"	"AAM32184;"	4	"Cell inner membrane;Cell membrane;Direct protein sequencing;Electron transport;Membrane;Methanogenesis;Methanol utilization;Oxidoreductase;Transport"		"KW-0997; KW-1003; KW-0903; KW-0249; KW-0472; KW-0484; KW-0485; KW-0560; KW-0813"		"Evidence at protein level"	"reviewed"		"UPI00000688A0"	"BIOPHYSICOCHEMICAL PROPERTIES (1); CATALYTIC ACTIVITY (1); FUNCTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Chain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}."		
"F1SVH9"	"FPOM_METMA"	"F(420)H(2) dehydrogenase subunit M (EC 1.12.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit M) (F(420)H(2)-dependent phenazine oxidoreductase subunit M) (FPO subunit M) (Methanophenazine hydrogenase subunit M) (Methanosarcina-phenazine hydrogenase subunit M)"	"fpoM MM_2481"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005886; GO:0008137; GO:0015945; GO:0015948; GO:0042773; GO:0051911"	"plasma membrane [GO:0005886]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"ATP synthesis coupled electron transport [GO:0042773]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"plasma membrane [GO:0005886]"	"Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]"	192952		"MM_2481"		"fpoM"	"UP000000595: Chromosome"	"Complex I subunit 4 family"	"WP_011034399.1;"	"mma:MM_2481;"	"44087873;66135442;"	"AAM32177;"	4	"Cell membrane;Electron transport;Membrane;Methanogenesis;Methanol utilization;Oxidoreductase;Transmembrane;Transmembrane helix;Transport"		"KW-1003; KW-0249; KW-0472; KW-0484; KW-0485; KW-0560; KW-0812; KW-1133; KW-0813"		"Evidence at protein level"	"reviewed"		"UPI00000688A6"	"BIOPHYSICOCHEMICAL PROPERTIES (1); CATALYTIC ACTIVITY (1); FUNCTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Chain (1); Transmembrane (15)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}."		"TRANSMEM 1..21; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 27..47; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 57..77; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 80..100; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 108..128; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 130..150; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 163..183; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 215..235; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 249..269; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 277..297; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 315..335; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 338..358; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 378..398; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 412..432; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 450..470; /note=""Helical""; /evidence=""ECO:0000255"""
"F1SVK0"	"FPOL_METMA"	"F(420)H(2) dehydrogenase subunit L (EC 1.12.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit L) (F(420)H(2)-dependent phenazine oxidoreductase subunit L) (FPO subunit L) (Methanophenazine hydrogenase subunit L) (Methanosarcina-phenazine hydrogenase subunit L)"	"fpoL MM_2482"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005886; GO:0008137; GO:0015945; GO:0015948; GO:0042773; GO:0051911"	"plasma membrane [GO:0005886]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"ATP synthesis coupled electron transport [GO:0042773]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"plasma membrane [GO:0005886]"	"Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]"	192952		"MM_2482"		"fpoL"	"UP000000595: Chromosome"	"Complex I subunit 5 family"	"WP_011034400.1;"	"mma:MM_2482;"	"44087874;66135443;"	"AAM32178;"	4	"Cell membrane;Electron transport;Membrane;Methanogenesis;Methanol utilization;Oxidoreductase;Transmembrane;Transmembrane helix;Transport"		"KW-1003; KW-0249; KW-0472; KW-0484; KW-0485; KW-0560; KW-0812; KW-1133; KW-0813"		"Evidence at protein level"	"reviewed"		"UPI000006889B"	"BIOPHYSICOCHEMICAL PROPERTIES (1); CATALYTIC ACTIVITY (1); FUNCTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Chain (1); Transmembrane (16)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}."		"TRANSMEM 8..28; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 37..57; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 79..99; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 136..156; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 225..245; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 265..285; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 298..318; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 337..357; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 360..380; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 394..414; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 447..467; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 483..503; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 545..565; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 601..621; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 652..672; /note=""Helical""; /evidence=""ECO:0000255"""
"F1SVL1"	"FPOC_METMA"	"F(420)H(2) dehydrogenase subunit C (EC 1.12.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit C) (F(420)H(2)-dependent phenazine oxidoreductase subunit C) (FPO subunit C) (Methanophenazine hydrogenase subunit C) (Methanosarcina-phenazine hydrogenase subunit C)"	"fpoC MM_2489"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005886; GO:0008137; GO:0015945; GO:0015948; GO:0051911"	"plasma membrane [GO:0005886]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"plasma membrane [GO:0005886]"	"Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]"	192952		"MM_2489"		"fpoC"	"UP000000595: Chromosome"	"Complex I 30 kDa subunit family"	"WP_011034407.1;"	"mma:MM_2489;"	"24879218;"	"AAM32185;"	4	"Cell membrane;Direct protein sequencing;Electron transport;Membrane;Methanogenesis;Methanol utilization;Oxidoreductase;Transport"		"KW-1003; KW-0903; KW-0249; KW-0472; KW-0484; KW-0485; KW-0560; KW-0813"		"Evidence at protein level"	"reviewed"		"UPI000006889C"	"BIOPHYSICOCHEMICAL PROPERTIES (1); CATALYTIC ACTIVITY (1); FUNCTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Chain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}."		
"F1SVL2"	"FPON_METMA"	"F(420)H(2) dehydrogenase subunit N (EC 1.12.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit N) (F(420)H(2)-dependent phenazine oxidoreductase subunit N) (FPO subunit N) (Methanophenazine hydrogenase subunit N) (Methanosarcina-phenazine hydrogenase subunit N)"	"fpoN MM_2480"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005886; GO:0008137; GO:0015945; GO:0015948; GO:0042773; GO:0051911"	"plasma membrane [GO:0005886]; Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"ATP synthesis coupled electron transport [GO:0042773]; methanogenesis [GO:0015948]; methanol metabolic process [GO:0015945]"	"plasma membrane [GO:0005886]"	"Methanosarcina-phenazine hydrogenase activity [GO:0051911]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]"	192952		"MM_2480"		"fpoN"	"UP000000595: Chromosome"	"Complex I subunit 2 family"	"WP_011034398.1;"	"mma:MM_2480;"	"1480822;"	"AAM32176;"	4	"Cell membrane;Electron transport;Membrane;Methanogenesis;Methanol utilization;Oxidoreductase;Transmembrane;Transmembrane helix;Transport"		"KW-1003; KW-0249; KW-0472; KW-0484; KW-0485; KW-0560; KW-0812; KW-1133; KW-0813"		"Evidence at protein level"	"reviewed"		"UPI000006889D"	"BIOPHYSICOCHEMICAL PROPERTIES (1); CATALYTIC ACTIVITY (1); FUNCTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Chain (1); Transmembrane (14)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}."		"TRANSMEM 7..27; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 34..54; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 78..98; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 107..127; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 130..150; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 165..185; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 205..225; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 244..264; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 273..293; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 310..330; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 333..353; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 381..401; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 404..424; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 454..474; /note=""Helical""; /evidence=""ECO:0000255"""
